Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1686528000000,1752.770000,1753.030000,1750.290000,1752.580000,2850.836500,1686528899999,4993041.746501,4372,2100.353800,3678166.016613,0
1686528900000,1752.580000,1753.320000,1746.060000,1748.590000,4042.185600,1686529799999,7067387.637662,4963,2560.637900,4476229.865788,0
1686529800000,1748.600000,1753.520000,1745.260000,1745.490000,2838.274100,1686530699999,4963436.026146,4970,1577.020300,2757793.852065,0
1686530700000,1745.490000,1755.350000,1744.020000,1751.870000,3867.808700,1686531599999,6765037.282219,6609,1912.452500,3344903.766893,0
1686531600000,1751.880000,1753.490000,1748.870000,1749.930000,3053.595900,1686532499999,5347421.255154,4308,1655.872100,2899603.036727,0
1686532500000,1749.930000,1751.840000,1748.050000,1748.760000,1888.407700,1686533399999,3303802.179486,2959,1104.841900,1932900.995096,0
1686533400000,1748.760000,1749.390000,1743.920000,1747.230000,3616.398400,1686534299999,6313681.256131,4616,1498.946900,2616952.998980,0
1686534300000,1747.230000,1747.280000,1743.330000,1745.890000,2574.509400,1686535199999,4493118.184069,3404,1394.934000,2434170.621733,0
1686535200000,1745.890000,1748.500000,1744.500000,1748.030000,1522.558100,1686536099999,2660007.015011,2913,857.860800,1498705.158124,0
1686536100000,1748.030000,1748.320000,1720.110000,1727.650000,19684.100400,1686536999999,34079284.754540,21977,9441.029300,16342165.292894,0
1686537000000,1727.650000,1732.980000,1726.540000,1727.940000,6258.105400,1686537899999,10825169.810965,7242,2947.477400,5097848.976861,0
1686537900000,1727.940000,1735.300000,1721.460000,1731.430000,9656.384800,1686538799999,16678727.554472,11209,5735.280200,9905205.058116,0
1686538800000,1731.430000,1734.530000,1730.030000,1732.160000,3924.372300,1686539699999,6797504.922190,4771,2072.478000,3589697.397596,0
1686539700000,1732.170000,1736.740000,1732.160000,1736.730000,1712.224300,1686540599999,2970480.630995,3391,977.697400,1696045.575918,0
1686540600000,1736.740000,1738.940000,1735.730000,1737.360000,1810.306000,1686541499999,3145151.276039,3625,1032.776300,1794299.024491,0
1686541500000,1737.370000,1737.550000,1734.650000,1735.760000,1540.002600,1686542399999,2672964.503328,2772,753.110500,1307040.858537,0
1686542400000,1735.760000,1738.290000,1735.000000,1736.340000,2221.322800,1686543299999,3857683.814279,3615,1124.746700,1953170.458959,0
1686543300000,1736.330000,1739.130000,1736.330000,1738.250000,1175.374900,1686544199999,2042950.465470,2980,654.933000,1138288.301111,0
1686544200000,1738.240000,1741.450000,1736.750000,1739.780000,2787.200600,1686545099999,4847064.915573,4491,1292.242200,2247329.008427,0
1686545100000,1739.790000,1740.640000,1738.150000,1740.560000,1852.533900,1686545999999,3221951.838737,3594,897.502000,1560913.505753,0
1686546000000,1740.550000,1740.560000,1737.390000,1738.330000,1754.231500,1686546899999,3050112.950344,3110,601.034900,1044985.753366,0
1686546900000,1738.340000,1739.990000,1738.330000,1739.990000,1287.652600,1686547799999,2239673.446795,3070,597.724400,1039593.509534,0
1686547800000,1739.990000,1740.530000,1738.000000,1738.220000,1444.224400,1686548699999,2512053.717779,3365,547.677900,952569.555095,0
1686548700000,1738.230000,1739.710000,1736.020000,1736.390000,1592.186800,1686549599999,2766267.160248,3367,786.299100,1366185.077595,0
1686549600000,1736.400000,1739.670000,1736.100000,1738.940000,2033.715800,1686550499999,3533791.222581,4165,1189.092800,2066049.109524,0
1686550500000,1738.950000,1748.000000,1738.130000,1744.660000,3912.605000,1686551399999,6819770.225755,7327,2077.328600,3620558.460200,0
1686551400000,1744.650000,1746.490000,1742.700000,1743.120000,3185.335200,1686552299999,5556189.410486,4666,1888.126000,3293502.427360,0
1686552300000,1743.120000,1743.420000,1739.280000,1740.600000,2124.992600,1686553199999,3700144.193679,4512,1277.205400,2223726.318362,0
1686553200000,1740.600000,1742.000000,1739.910000,1740.240000,2074.970600,1686554099999,3612321.331766,3740,1024.380700,1783326.515529,0
1686554100000,1740.240000,1741.140000,1739.640000,1739.680000,1396.472700,1686554999999,2430081.514682,3080,886.084600,1541943.293116,0
1686555000000,1739.670000,1740.590000,1738.760000,1739.180000,1247.961500,1686555899999,2170663.370385,3466,587.660900,1022122.981520,0
1686555900000,1739.170000,1740.350000,1732.770000,1736.700000,3457.414800,1686556799999,6004439.673960,6265,1555.213200,2700254.749971,0
1686556800000,1736.700000,1740.070000,1734.280000,1738.360000,2732.535600,1686557699999,4747841.564676,5120,1209.521000,2101523.187203,0
1686557700000,1738.370000,1747.490000,1738.360000,1746.730000,4273.531500,1686558599999,7448885.179077,6782,2184.231100,3807761.069120,0
1686558600000,1746.740000,1747.610000,1742.200000,1742.850000,3675.001400,1686559499999,6409551.194857,5412,1427.247600,2489260.075495,0
1686559500000,1742.850000,1746.230000,1741.310000,1745.350000,3451.094500,1686560399999,6015117.914788,4604,1720.497500,2999181.311470,0
1686560400000,1745.350000,1759.330000,1744.650000,1752.280000,9556.832600,1686561299999,16747935.090540,12263,5306.687400,9297884.534488,0
1686561300000,1752.280000,1756.960000,1751.010000,1752.930000,4220.865100,1686562199999,7403462.667585,7005,2256.728600,3958008.227510,0
1686562200000,1752.940000,1752.940000,1749.410000,1750.890000,2662.608800,1686563099999,4661443.005757,5189,1159.661700,2030100.633573,0
1686563100000,1750.900000,1752.440000,1747.210000,1748.450000,2623.186800,1686563999999,4590182.548441,4893,1015.186200,1776370.684355,0
1686564000000,1748.440000,1753.560000,1747.500000,1752.550000,4864.922800,1686564899999,8515505.064296,5974,2814.638500,4926449.098848,0
1686564900000,1752.550000,1755.000000,1750.990000,1753.440000,3894.974400,1686565799999,6828678.112273,6075,1987.207000,3483895.276770,0
1686565800000,1753.440000,1754.260000,1751.850000,1752.170000,2629.644600,1686566699999,4609730.769321,4437,1437.250300,2519361.909801,0
1686566700000,1752.160000,1752.170000,1747.920000,1748.140000,2975.976000,1686567599999,5205899.350786,4500,1142.712200,1999120.911964,0
1686567600000,1748.150000,1748.550000,1746.240000,1747.390000,1794.679100,1686568499999,3136082.160825,3461,654.135900,1142857.678472,0
1686568500000,1747.380000,1747.620000,1745.380000,1745.900000,1320.656500,1686569399999,2306831.661308,3083,538.891000,941290.952706,0
1686569400000,1745.910000,1746.690000,1742.630000,1743.820000,2425.654200,1686570299999,4231895.768132,4061,1037.507400,1810032.358302,0
1686570300000,1743.820000,1748.020000,1742.290000,1745.600000,1868.561300,1686571199999,3260666.002237,4422,1102.538700,1924017.469543,0
1686571200000,1745.610000,1746.010000,1743.390000,1743.390000,1279.332500,1686572099999,2231669.746964,3197,547.539800,955135.742518,0
1686572100000,1743.390000,1744.540000,1741.860000,1743.040000,2951.609600,1686572999999,5144683.423385,4673,1798.647300,3135119.571485,0
1686573000000,1743.040000,1745.740000,1742.360000,1744.730000,2277.554900,1686573899999,3971519.057342,3713,1591.930100,2775797.018202,0
1686573900000,1744.730000,1747.250000,1744.380000,1747.090000,1914.713100,1686574799999,3343027.600918,3402,1303.920200,2276421.979378,0
1686574800000,1747.090000,1747.100000,1743.830000,1745.180000,1968.515600,1686575699999,3436303.800092,4148,1194.763800,2085542.316451,0
1686575700000,1745.190000,1745.870000,1738.700000,1742.520000,3384.958000,1686576599999,5898279.800415,6209,1820.170400,3171457.843697,0
1686576600000,1742.520000,1743.760000,1737.200000,1739.500000,4266.226100,1686577499999,7421604.871393,7044,2127.169400,3700690.452304,0
1686577500000,1739.490000,1740.550000,1736.300000,1739.470000,3312.593400,1686578399999,5759609.174109,5915,1757.227200,3055512.963537,0
1686578400000,1739.470000,1743.080000,1736.660000,1741.820000,3172.691600,1686579299999,5519681.696270,5860,2060.514000,3584937.256716,0
1686579300000,1741.810000,1744.210000,1739.280000,1740.550000,2644.118900,1686580199999,4604899.328101,4777,1525.832500,2657063.522345,0
1686580200000,1740.560000,1740.730000,1737.850000,1738.750000,2170.194200,1686581099999,3773691.951409,3895,1119.994300,1947655.947430,0
1686581100000,1738.760000,1738.760000,1728.880000,1738.140000,8251.958100,1686581999999,14315738.629774,7708,2336.357400,4053563.552096,0
1686582000000,1738.160000,1738.160000,1730.700000,1736.110000,4530.364900,1686582899999,7856771.818674,6101,2508.875300,4350689.751696,0
